"COUNTRY","INDICATOR","COUNTERPART_COUNTRY","FREQUENCY","TIME_PERIOD","OBS_VALUE","SCALE","SERIES_NAME"
"Thailand","Trade balance goods, US dollar","Canada","Quarterly","2021-Q4","272164484","Millions","Trade balance goods, US dollar"
"Thailand","Trade balance goods, US dollar","Canada","Quarterly","2022-Q1","274190121","Millions","Trade balance goods, US dollar"
"Thailand","Trade balance goods, US dollar","Canada","Quarterly","2022-Q2","219380636","Millions","Trade balance goods, US dollar"
"Thailand","Trade balance goods, US dollar","Canada","Quarterly","2022-Q3","221845421","Millions","Trade balance goods, US dollar"
"Thailand","Trade balance goods, US dollar","Canada","Quarterly","2022-Q4","218009690","Millions","Trade balance goods, US dollar"
"Thailand","Trade balance goods, US dollar","Canada","Quarterly","2023-Q1","219484337","Millions","Trade balance goods, US dollar"
"Thailand","Trade balance goods, US dollar","Canada","Quarterly","2023-Q2","143023444","Millions","Trade balance goods, US dollar"
"Thailand","Trade balance goods, US dollar","Canada","Quarterly","2023-Q3","223097207","Millions","Trade balance goods, US dollar"
"Thailand","Trade balance goods, US dollar","Canada","Quarterly","2023-Q4","254961433","Millions","Trade balance goods, US dollar"
"Thailand","Trade balance goods, US dollar","Canada","Quarterly","2024-Q1","249459361","Millions","Trade balance goods, US dollar"
"Thailand","Trade balance goods, US dollar","Canada","Quarterly","2024-Q2","213866905","Millions","Trade balance goods, US dollar"
"Thailand","Trade balance goods, US dollar","Canada","Quarterly","2024-Q3","261239323","Millions","Trade balance goods, US dollar"
"Thailand","Trade balance goods, US dollar","Canada","Quarterly","2024-Q4","299709953","Millions","Trade balance goods, US dollar"
"Egypt, Arab Republic of","Trade balance goods, US dollar","Canada","Quarterly","2021-Q1","79216030","Millions","Trade balance goods, US dollar"
"Egypt, Arab Republic of","Trade balance goods, US dollar","Canada","Quarterly","2021-Q2","139073148","Millions","Trade balance goods, US dollar"
"Egypt, Arab Republic of","Trade balance goods, US dollar","Canada","Quarterly","2021-Q3","157308899","Millions","Trade balance goods, US dollar"
"Egypt, Arab Republic of","Trade balance goods, US dollar","Canada","Quarterly","2021-Q4","179893987","Millions","Trade balance goods, US dollar"
"Egypt, Arab Republic of","Trade balance goods, US dollar","Canada","Quarterly","2022-Q1","155110937","Millions","Trade balance goods, US dollar"
"Egypt, Arab Republic of","Trade balance goods, US dollar","Canada","Quarterly","2022-Q2","159750834","Millions","Trade balance goods, US dollar"
"Egypt, Arab Republic of","Trade balance goods, US dollar","Canada","Quarterly","2022-Q3","157476930","Millions","Trade balance goods, US dollar"
"Egypt, Arab Republic of","Trade balance goods, US dollar","Canada","Quarterly","2022-Q4","154098368","Millions","Trade balance goods, US dollar"
"Egypt, Arab Republic of","Trade balance goods, US dollar","Canada","Quarterly","2023-Q1","175902507","Millions","Trade balance goods, US dollar"
"Egypt, Arab Republic of","Trade balance goods, US dollar","Canada","Quarterly","2023-Q2","75101546","Millions","Trade balance goods, US dollar"
"Egypt, Arab Republic of","Trade balance goods, US dollar","Canada","Quarterly","2023-Q3","-14245687","Millions","Trade balance goods, US dollar"
"Egypt, Arab Republic of","Trade balance goods, US dollar","Canada","Quarterly","2023-Q4","-134625567","Millions","Trade balance goods, US dollar"
"Egypt, Arab Republic of","Trade balance goods, US dollar","Canada","Quarterly","2024-Q1","-16052957","Millions","Trade balance goods, US dollar"
"Egypt, Arab Republic of","Trade balance goods, US dollar","Canada","Quarterly","2024-Q2","-48251416","Millions","Trade balance goods, US dollar"
"Egypt, Arab Republic of","Trade balance goods, US dollar","Canada","Quarterly","2024-Q3","14468080","Millions","Trade balance goods, US dollar"
"Egypt, Arab Republic of","Trade balance goods, US dollar","Canada","Quarterly","2024-Q4","8639986","Millions","Trade balance goods, US dollar"
"South Africa","Trade balance goods, US dollar","Canada","Quarterly","2021-Q1","-50055544","Millions","Trade balance goods, US dollar"
"South Africa","Trade balance goods, US dollar","Canada","Quarterly","2021-Q2","-12524574","Millions","Trade balance goods, US dollar"
"South Africa","Trade balance goods, US dollar","Canada","Quarterly","2021-Q3","-9261265","Millions","Trade balance goods, US dollar"
"South Africa","Trade balance goods, US dollar","Canada","Quarterly","2021-Q4","-2876860","Millions","Trade balance goods, US dollar"
"South Africa","Trade balance goods, US dollar","Canada","Quarterly","2022-Q1","23920230","Millions","Trade balance goods, US dollar"
"South Africa","Trade balance goods, US dollar","Canada","Quarterly","2022-Q2","5926367","Millions","Trade balance goods, US dollar"
"South Africa","Trade balance goods, US dollar","Canada","Quarterly","2022-Q3","31639048","Millions","Trade balance goods, US dollar"
"South Africa","Trade balance goods, US dollar","Canada","Quarterly","2022-Q4","19442482","Millions","Trade balance goods, US dollar"
"South Africa","Trade balance goods, US dollar","Canada","Quarterly","2023-Q1","40127029","Millions","Trade balance goods, US dollar"
"South Africa","Trade balance goods, US dollar","Canada","Quarterly","2023-Q2","18442338","Millions","Trade balance goods, US dollar"
"South Africa","Trade balance goods, US dollar","Canada","Quarterly","2023-Q3","26760539","Millions","Trade balance goods, US dollar"
"South Africa","Trade balance goods, US dollar","Canada","Quarterly","2023-Q4","-20252047","Millions","Trade balance goods, US dollar"
"South Africa","Trade balance goods, US dollar","Canada","Quarterly","2024-Q1","30965897","Millions","Trade balance goods, US dollar"
"South Africa","Trade balance goods, US dollar","Canada","Quarterly","2024-Q2","9876879","Millions","Trade balance goods, US dollar"
"South Africa","Trade balance goods, US dollar","Canada","Quarterly","2024-Q3","45158412","Millions","Trade balance goods, US dollar"
"South Africa","Trade balance goods, US dollar","Canada","Quarterly","2024-Q4","-91499943","Millions","Trade balance goods, US dollar"
"Japan","Trade balance goods, US dollar","Canada","Quarterly","2021-Q1","-618334306","Millions","Trade balance goods, US dollar"
"Japan","Trade balance goods, US dollar","Canada","Quarterly","2021-Q2","-889203046","Millions","Trade balance goods, US dollar"
"Japan","Trade balance goods, US dollar","Canada","Quarterly","2021-Q3","-1869536682","Millions","Trade balance goods, US dollar"
"Japan","Trade balance goods, US dollar","Canada","Quarterly","2021-Q4","-1799593896","Millions","Trade balance goods, US dollar"
"Japan","Trade balance goods, US dollar","Canada","Quarterly","2022-Q1","-1461702709","Millions","Trade balance goods, US dollar"
"Japan","Trade balance goods, US dollar","Canada","Quarterly","2022-Q2","-2237541045","Millions","Trade balance goods, US dollar"
"Japan","Trade balance goods, US dollar","Canada","Quarterly","2022-Q3","-2277899119","Millions","Trade balance goods, US dollar"
"Japan","Trade balance goods, US dollar","Canada","Quarterly","2022-Q4","-1942989136","Millions","Trade balance goods, US dollar"
"Japan","Trade balance goods, US dollar","Canada","Quarterly","2023-Q1","-1576972119","Millions","Trade balance goods, US dollar"
"Japan","Trade balance goods, US dollar","Canada","Quarterly","2023-Q2","-1121377460","Millions","Trade balance goods, US dollar"
"Japan","Trade balance goods, US dollar","Canada","Quarterly","2023-Q3","-232479156","Millions","Trade balance goods, US dollar"
"Japan","Trade balance goods, US dollar","Canada","Quarterly","2023-Q4","-695377175","Millions","Trade balance goods, US dollar"
"Japan","Trade balance goods, US dollar","Canada","Quarterly","2024-Q1","-481523319","Millions","Trade balance goods, US dollar"
"Japan","Trade balance goods, US dollar","Canada","Quarterly","2024-Q2","-567775031","Millions","Trade balance goods, US dollar"
"Japan","Trade balance goods, US dollar","Canada","Quarterly","2024-Q3","-88108936","Millions","Trade balance goods, US dollar"
"Japan","Trade balance goods, US dollar","Canada","Quarterly","2024-Q4","-701692195","Millions","Trade balance goods, US dollar"
"France","Trade balance goods, US dollar","Canada","Quarterly","2021-Q1","-10358895","Millions","Trade balance goods, US dollar"
"France","Trade balance goods, US dollar","Canada","Quarterly","2021-Q2","198939515","Millions","Trade balance goods, US dollar"
"France","Trade balance goods, US dollar","Canada","Quarterly","2021-Q3","-40733568","Millions","Trade balance goods, US dollar"
"France","Trade balance goods, US dollar","Canada","Quarterly","2021-Q4","16750533","Millions","Trade balance goods, US dollar"
"France","Trade balance goods, US dollar","Canada","Quarterly","2022-Q1","123595248","Millions","Trade balance goods, US dollar"
"France","Trade balance goods, US dollar","Canada","Quarterly","2022-Q2","279938094","Millions","Trade balance goods, US dollar"
"France","Trade balance goods, US dollar","Canada","Quarterly","2022-Q3","158949316","Millions","Trade balance goods, US dollar"
"France","Trade balance goods, US dollar","Canada","Quarterly","2022-Q4","60875386","Millions","Trade balance goods, US dollar"
"France","Trade balance goods, US dollar","Canada","Quarterly","2023-Q1","33408261","Millions","Trade balance goods, US dollar"
"France","Trade balance goods, US dollar","Canada","Quarterly","2023-Q2","119054046","Millions","Trade balance goods, US dollar"
"France","Trade balance goods, US dollar","Canada","Quarterly","2023-Q3","82958643","Millions","Trade balance goods, US dollar"
"France","Trade balance goods, US dollar","Canada","Quarterly","2023-Q4","148685149","Millions","Trade balance goods, US dollar"
"France","Trade balance goods, US dollar","Canada","Quarterly","2024-Q1","189560999","Millions","Trade balance goods, US dollar"
"France","Trade balance goods, US dollar","Canada","Quarterly","2024-Q2","120607500","Millions","Trade balance goods, US dollar"
"France","Trade balance goods, US dollar","Canada","Quarterly","2024-Q3","321922284","Millions","Trade balance goods, US dollar"
"France","Trade balance goods, US dollar","Canada","Quarterly","2024-Q4","11082330","Millions","Trade balance goods, US dollar"
